year,noS,noM,noL,noXL,tbS,tbM,tbL,tbXL
2007,1511,88,3,17,2164734,14570124,13003842,167562085
2008,1585,83,9,11,2551714,14695751,60822125,121637275
2009,1671,85,4,18,2598226,13167763,9970404,171232882
2010,1735,62,5,17,4500785,29938758,15450769,160771861
2011,1995,77,5,16,5022047,31057830,17703591,138963354
2012,2339,71,3,17,5833762,20797575,11735116,157780750
2013,2752,73,4,17,6498327,19081140,13394409,153023499
2014,3277,75,6,15,7650992,20534362,25151895,138677888
2015,4399,84,6,15,8469484,22581449,23939648,136122437
2016,4982,93,7,14,8913169,22814621,26452765,131659359
2017,5533,95,5,15,9588216,23090370,17288133,135615117