,Number of Breweries (1),,,,Total Barrels (3),,,
,"S (<60,000 Barrels)","M (60,000-2M Barrels)",L (2M-6M Barrels),XL (>6M Barrels),"S (<60,000 Barrels)","M (60,000-2M Barrels)",L (2M-6M Barrels),XL (>6M Barrels)
 Year ,,,,,,,,
" 2,018 ",,,,,,,,
" 2,017 ","5,533",95,5,15," 9,588,216 "," 23,090,370 "," 17,288,133 "," 135,615,117 "
" 2,016 ",4982,93,7,14," 8,913,169 "," 22,814,621 "," 26,452,765 "," 131,659,359 "
" 2,015 ",4399,84,6,15," 8,469,484 "," 22,581,449 "," 23,939,648 "," 136,122,437 "
" 2,014 ",3277,75,6,15," 7,650,992 "," 20,534,362 "," 25,151,895 "," 138,677,888 "
" 2,013 ",2752,73,4,17," 6,498,327 "," 19,081,140 "," 13,394,409 "," 153,023,499 "
" 2,012 ",2339,71,3,17," 5,833,762 "," 20,797,575 "," 11,735,116 "," 157,780,750 "
" 2,011 ",1995,77,5,16," 5,022,047 "," 31,057,830 "," 17,703,591 "," 138,963,354 "
" 2,010 ",1735,62,5,17," 4,500,785 "," 29,938,758 "," 15,450,769 "," 160,771,861 "
" 2,009 ",1671,85,4,18," 2,598,226 "," 13,167,763 "," 9,970,404 "," 171,232,882 "
" 2,008 ",1585,83,9,11," 2,551,714 "," 14,695,751 "," 60,822,125 "," 121,637,275 "
" 2,007 ",1511,88,3,17," 2,164,734 "," 14,570,124 "," 13,003,842 "," 167,562,085 "
" 2,006 ",,,,,,,,
" 2,005 ",,,,,,,,
" 2,004 ",,,,,,,,
" 2,003 ",,,,,,,,
" 2,002 ",,,,,,,,
" 2,001 ",,,,,,,,
" 2,000 ",,,,,,,,
" 1,999 ",,,,,,,,
" 1,998 ",,,,,,,,
" 1,997 ",,,,,,,,
" 1,996 ",,,,,,,,
" 1,995 ",,,,,,,,
" 1,994 ",,,,,,,,
" 1,993 ",,,,,,,,
" 1,992 ",,,,,,,,
" 1,991 ",,,,,,,,
" 1,990 ",,,,,,,,
" 1,989 ",,,,,,,,
" 1,988 ",,,,,,,,
" 1,987 ",,,,,,,,
" 1,986 ",,,,,,,,
" 1,985 ",,,,,,,,
" 1,984 ",,,,,,,,
" 1,983 ",,,,,,,,
" 1,982 ",,,,,,,,
" 1,981 ",,,,,,,,
" 1,980 ",,,,,,,,
" 1,979 ",,,,,,,,
" 1,978 ",,,,,,,,
" 1,977 ",,,,,,,,
" 1,976 ",,,,,,,,
" 1,975 ",,,,,,,,
" 1,974 ",,,,,,,,
" 1,973 ",,,,,,,,
" 1,972 ",,,,,,,,
" 1,971 ",,,,,,,,
" 1,970 ",,,,,,,,
" 1,969 ",,,,,,,,
" 1,968 ",,,,,,,,
" 1,967 ",,,,,,,,
" 1,966 ",,,,,,,,
" 1,965 ",,,,,,,,
" 1,964 ",,,,,,,,
" 1,963 ",,,,,,,,
" 1,962 ",,,,,,,,
" 1,961 ",,,,,,,,
" 1,960 ",,,,,,,,
" 1,959 ",,,,,,,,
" 1,958 ",,,,,,,,
" 1,957 ",,,,,,,,
" 1,956 ",,,,,,,,
" 1,955 ",,,,,,,,
" 1,954 ",,,,,,,,
" 1,953 ",,,,,,,,
" 1,952 ",,,,,,,,
" 1,951 ",,,,,,,,
" 1,950 ",,,,,,,,
" 1,949 ",,,,,,,,
" 1,948 ",,,,,,,,
" 1,947 ",,,,,,,,
" 1,946 ",,,,,,,,
" 1,945 ",,,,,,,,
" 1,944 ",,,,,,,,
" 1,943 ",,,,,,,,
" 1,942 ",,,,,,,,
" 1,941 ",,,,,,,,
" 1,940 ",,,,,,,,
" 1,939 ",,,,,,,,
" 1,938 ",,,,,,,,
" 1,937 ",,,,,,,,
" 1,936 ",,,,,,,,
" 1,935 ",,,,,,,,
" 1,934 ",,,,,,,,
" 1,933 ",,,,,,,,
" 1,932 ",,,,,,,,
" 1,931 ",,,,,,,,
" 1,930 ",,,,,,,,
" 1,929 ",,,,,,,,
" 1,928 ",,,,,,,,
" 1,927 ",,,,,,,,
" 1,926 ",,,,,,,,
" 1,925 ",,,,,,,,
" 1,924 ",,,,,,,,
" 1,923 ",,,,,,,,
" 1,922 ",,,,,,,,
" 1,921 ",,,,,,,,
" 1,920 ",,,,,,,,
" 1,919 ",,,,,,,,
" 1,918 ",,,,,,,,
" 1,917 ",,,,,,,,
" 1,916 ",,,,,,,,
" 1,915 ",,,,,,,,
" 1,914 ",,,,,,,,
" 1,913 ",,,,,,,,
" 1,912 ",,,,,,,,
" 1,911 ",,,,,,,,
" 1,910 ",,,,,,,,
" 1,909 ",,,,,,,,
" 1,908 ",,,,,,,,
" 1,907 ",,,,,,,,
" 1,906 ",,,,,,,,
" 1,905 ",,,,,,,,
" 1,904 ",,,,,,,,
" 1,903 ",,,,,,,,
" 1,902 ",,,,,,,,
" 1,901 ",,,,,,,,
" 1,900 ",,,,,,,,
" 1,899 ",,,,,,,,
" 1,898 ",,,,,,,,
" 1,897 ",,,,,,,,
" 1,896 ",,,,,,,,
" 1,895 ",,,,,,,,
" 1,894 ",,,,,,,,
" 1,893 ",,,,,,,,
" 1,892 ",,,,,,,,
" 1,891 ",,,,,,,,
" 1,890 ",,,,,,,,
" 1,889 ",,,,,,,,
" 1,888 ",,,,,,,,
" 1,887 ",,,,,,,,
" 1,886 ",,,,,,,,
" 1,885 ",,,,,,,,
" 1,884 ",,,,,,,,
" 1,883 ",,,,,,,,
" 1,882 ",,,,,,,,
" 1,881 ",,,,,,,,
" 1,880 ",,,,,,,,
" 1,879 ",,,,,,,,
" 1,878 ",,,,,,,,
" 1,877 ",,,,,,,,
" 1,876 ",,,,,,,,
" 1,875 ",,,,,,,,
" 1,874 ",,,,,,,,
" 1,873 ",,,,,,,,
" 1,872 ",,,,,,,,
" 1,871 ",,,,,,,,
" 1,870 ",,,,,,,,
" 1,869 ",,,,,,,,
" 1,868 ",,,,,,,,
" 1,867 ",,,,,,,,
" 1,866 ",,,,,,,,
" 1,865 ",,,,,,,,
" 1,864 ",,,,,,,,
" 1,863 ",,,,,,,,
" 1,862 ",,,,,,,,